,rsi,macd_signal,macd_hist,sma_20,MSFT US Equity_news_heat,AAPL US Equity_news_heat,GOOGL US Equity_news_heat,return
2024-02-22,0.327286965011516,0.9422081479705305,-0.9502456682908041,1.2064528226029574,0.584135465225209,-1.1364634043382045,1.9907382154957622,0.004108724398324881
2024-02-23,0.2386578312248457,0.8829173921388132,-0.7197265684550268,1.2075350598674066,-0.6390544592178841,-1.2045933169953884,0.697316160398336,0.014414720740755449
2024-02-26,0.2664709693264888,0.8376535256717412,-0.5533905047457545,1.21093638299277,0.8753095373789289,-0.9185988037893538,0.7439600356796271,0.025734531783535575
2024-02-27,0.29302752504140334,0.8022412361527201,-0.43656684639438287,1.2128189315808338,1.0416022852533864,0.49462463399053147,-0.2885084468981431,0.02735259251212807
2024-02-28,0.08311813817420069,0.7649511607452691,-0.45883432887396086,1.2153471801604963,0.24352650615472446,1.795893372413233,0.9393600537499012,0.005880403305570159
2024-02-29,0.4392705186544567,0.7431355526978016,-0.2753323476617265,1.2238050004451844,0.11592755720202766,0.18243599540058886,0.017828355624931732,0.02664507382352377
2024-03-01,0.9324783542352508,0.7582257195579268,0.16231003809360592,1.2334359909920962,0.42508971647991045,-0.41310255719797434,-0.7133459055412549,0.025645903882081322
2024-03-04,0.9324783542352508,0.7931665420387937,0.39770648502964917,1.2411844189310557,-0.47729108579915086,2.195605651108061,-0.24060392633897912,-0.0004377349077399062
2024-03-05,-0.13836612070320353,0.7970663550519114,0.029610666049173832,1.2438036005084925,-0.16631717673897803,1.9060850056388077,0.5876400212234081,0.012261790407565254
2024-03-06,0.0992837059031486,0.7910250938344311,-0.08827428431816582,1.2487509388147995,0.4034781297911678,0.7185340327048992,1.0086955440329015,0.016909838351871986
2024-03-07,0.5274122399986604,0.8011761935819953,0.10374074589044495,1.2542439872668631,-0.5203848484779015,0.31441408868104864,0.6103316362251173,-0.016179471230253983
